week_sort,value,type,Season,Age Group
År 1 uge 33,2.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 33,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 33,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 33,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 33,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 33,106.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 33,24.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 34,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 34,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 34,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 34,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 34,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 34,165.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 34,17.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 35,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 35,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 35,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 35,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 35,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 35,260.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 35,40.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 36,0.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 36,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 36,0.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 36,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 36,0.0,cases,2020/2021,01. 0-5 måneder
År 1 uge 36,305.0,cases,2021/2022,01. 0-5 måneder
År 1 uge 36,38.0,cases,2022/2023,01. 0-5 måneder
År 1 uge 37,1.0,cases,2016/2017,01. 0-5 måneder
År 1 uge 37,0.0,cases,2017/2018,01. 0-5 måneder
År 1 uge 37,1.0,cases,2018/2019,01. 0-5 måneder
År 1 uge 37,0.0,cases,2019/2020,01. 0-5 måneder
År 1 uge 37,0.0,cases,2020/2021,01. 0-5 måneder
