week_sort,value,type,Season,Age Group
År 1 uge 27,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 27,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 28,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 29,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 30,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 31,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 32,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 33,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 34,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 35,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 36,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 37,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 38,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 39,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 40,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 41,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 42,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 43,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 44,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 45,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 46,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 47,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 48,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 49,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 50,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 51,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2016/2017,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2017/2018,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2018/2019,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2019/2020,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2020/2021,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 52,0.0,deaths,2022/2023,02. 6-11 måneder
År 1 uge 53,0.0,deaths,2015/2016,02. 6-11 måneder
År 1 uge 53,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 01,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 02,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 03,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 04,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 05,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 06,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 07,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 08,0.0,deaths,2022/2023,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 09,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 10,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 11,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 12,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 13,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 14,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 15,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 16,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 17,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 18,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 19,0.0,deaths,2021/2022,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2015/2016,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2016/2017,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2017/2018,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2018/2019,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2019/2020,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2020/2021,02. 6-11 måneder
År 2 uge 20,0.0,deaths,2021/2022,02. 6-11 måneder
År 1 uge 21,3.14,incidens,2016/2017,02. 6-11 måneder
År 1 uge 21,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 21,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 21,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 21,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 21,3.09,incidens,2021/2022,02. 6-11 måneder
År 1 uge 21,2.99,incidens,2022/2023,02. 6-11 måneder
År 1 uge 22,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 22,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 22,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 22,6.16,incidens,2019/2020,02. 6-11 måneder
År 1 uge 22,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 22,3.09,incidens,2021/2022,02. 6-11 måneder
År 1 uge 22,8.97,incidens,2022/2023,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 23,0.0,incidens,2021/2022,02. 6-11 måneder
År 1 uge 23,15.0,incidens,2022/2023,02. 6-11 måneder
År 1 uge 24,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 24,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 24,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 24,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 24,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 24,6.23,incidens,2021/2022,02. 6-11 måneder
År 1 uge 24,6.0,incidens,2022/2023,02. 6-11 måneder
År 1 uge 25,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 25,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 25,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 25,6.27,incidens,2019/2020,02. 6-11 måneder
År 1 uge 25,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 25,3.14,incidens,2021/2022,02. 6-11 måneder
År 1 uge 25,6.0,incidens,2022/2023,02. 6-11 måneder
År 1 uge 26,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 26,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 26,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 26,3.15,incidens,2019/2020,02. 6-11 måneder
År 1 uge 26,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 26,15.77,incidens,2021/2022,02. 6-11 måneder
År 1 uge 26,15.09,incidens,2022/2023,02. 6-11 måneder
År 1 uge 27,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 27,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 27,3.11,incidens,2018/2019,02. 6-11 måneder
År 1 uge 27,3.17,incidens,2019/2020,02. 6-11 måneder
År 1 uge 27,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 27,25.48,incidens,2021/2022,02. 6-11 måneder
År 1 uge 27,33.38,incidens,2022/2023,02. 6-11 måneder
År 1 uge 28,3.2,incidens,2016/2017,02. 6-11 måneder
År 1 uge 28,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 28,3.12,incidens,2018/2019,02. 6-11 måneder
År 1 uge 28,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 28,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 28,73.79,incidens,2021/2022,02. 6-11 måneder
År 1 uge 28,18.4,incidens,2022/2023,02. 6-11 måneder
År 1 uge 29,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 29,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 29,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 29,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 29,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 29,38.72,incidens,2021/2022,02. 6-11 måneder
År 1 uge 29,18.51,incidens,2022/2023,02. 6-11 måneder
År 1 uge 30,0.0,incidens,2016/2017,02. 6-11 måneder
År 1 uge 30,0.0,incidens,2017/2018,02. 6-11 måneder
År 1 uge 30,0.0,incidens,2018/2019,02. 6-11 måneder
År 1 uge 30,0.0,incidens,2019/2020,02. 6-11 måneder
År 1 uge 30,0.0,incidens,2020/2021,02. 6-11 måneder
År 1 uge 30,77.8,incidens,2021/2022,02. 6-11 måneder
År 1 uge 30,9.34,incidens,2022/2023,02. 6-11 måneder
År 1 uge 31,0.0,incidens,2016/2017,02. 6-11 måneder
